NAME,population,metropolitan statistical area/micropolitan statistical area
"Sevierville, TN Micro Area",99517.0,42940
"Paducah, KY-IL Micro Area",99498.0,37140
"Adrian, MI Micro Area",98956.0,10300
"Rome, GA Metro Area",98771.0,40660
"Dubuque, IA Metro Area",98718.0,20220
"Albertville, AL Micro Area",98228.0,10700
"Brainerd, MN Micro Area",97909.0,14660
"Pocatello, ID Metro Area",97645.0,38540
"Ashtabula, OH Micro Area",97337.0,11780
"Meridian, MS Micro Area",96829.0,32940
"Mayagüez, PR Metro Area",96503.0,32420
"Cape Girardeau, MO-IL Metro Area",96456.0,16020
"Corvallis, OR Metro Area",96017.0,18700
"Ocean City, NJ Metro Area",95661.0,36140
"Fairbanks, AK Metro Area",95593.0,21820
"Cumberland, MD-WV Metro Area",94586.0,19060
"Hermiston-Pendleton, OR Micro Area",93962.0,25840
"Corning, NY Micro Area",92948.0,18500
"New Philadelphia-Dover, OH Micro Area",92500.0,35420
"Ukiah, CA Micro Area",91305.0,46380
"Sunbury, PA Micro Area",91266.0,44980
"Clarksburg, WV Micro Area",90546.0,17220
"Cullman, AL Micro Area",89496.0,18980
"Beaver Dam, WI Micro Area",89313.0,13180
"Yauco, PR Metro Area",88542.0,49500
"Grants Pass, OR Metro Area",88346.0,24420
"Parkersburg-Vienna, WV Metro Area",88181.0,37620
"Oak Harbor, WA Micro Area",87432.0,36020
"Pine Bluff, AR Metro Area",86747.0,38220
"Lufkin, TX Micro Area",86506.0,31260
"Zanesville, OH Micro Area",86408.0,49780
"New Castle, PA Micro Area",85497.0,35260
"Watertown-Fort Atkinson, WI Micro Area",84943.0,48020
"Helena, MT Micro Area",84881.0,25740
"Great Falls, MT Metro Area",84511.0,24500
"Centralia, WA Micro Area",84398.0,16500
"Russellville, AR Micro Area",83944.0,40780
"Kokomo, IN Metro Area",83687.0,29020
"Athens, TX Micro Area",83667.0,11980
"Midland, MI Metro Area",83457.0,33220
"Meadville, PA Micro Area",83351.0,32740
"Elmira, NY Metro Area",83045.0,21300
"Orangeburg, SC Micro Area",82962.0,36700
"Bloomsburg-Berwick, PA Metro Area",82959.0,14100
"Indiana, PA Micro Area",82886.0,26860
"Laurel, MS Micro Area",82728.0,29860
"Columbus, IN Metro Area",82475.0,18020
"Statesboro, GA Micro Area",82442.0,44340
"Key West, FL Micro Area",82170.0,28580
"Opelousas, LA Micro Area",82071.0,36660
"Stillwater, OK Micro Area",81989.0,44660
"Talladega-Sylacauga, AL Micro Area",81524.0,45180
"Manitowoc, WI Micro Area",81505.0,31820
"Glenwood Springs, CO Micro Area",81084.0,24060
"Jefferson, GA Micro Area",80286.0,27600
"Warsaw, IN Micro Area",80106.0,47700
"DuBois, PA Micro Area",80082.0,20180
"Plattsburgh, NY Micro Area",79596.0,38460
"Casper, WY Metro Area",79555.0,16220
"Hinesville, GA Metro Area",79371.0,25980
"Heber, UT Micro Area",79266.0,25720
"Seneca, SC Micro Area",79203.0,42860
"Wilson, NC Micro Area",78369.0,48980
"Port Angeles, WA Micro Area",78209.0,38820
"Huntsville, TX Micro Area",77977.0,26660
"Keene, NH Micro Area",77329.0,28300
"Searcy, AR Micro Area",77207.0,42620
"Minot, ND Micro Area",77178.0,33500
"Chillicothe, OH Micro Area",76891.0,17060
"Aberdeen, WA Micro Area",76841.0,10140
"Olean, NY Micro Area",76426.0,36460
"Grand Island, NE Metro Area",76175.0,24260
"Auburn, NY Micro Area",75880.0,12180
"Frankfort, KY Micro Area",75717.0,23180
"Sandusky, OH Micro Area",74852.0,41780
"Findlay, OH Micro Area",74656.0,22300
"Quincy, IL-MO Micro Area",74323.0,39500
"Palatka, FL Micro Area",74167.0,37260
"Wisconsin Rapids-Marshfield, WI Micro Area",74070.0,49220
"Somerset, PA Micro Area",73627.0,43740
"Kapaa, HI Micro Area",73454.0,28180
"Portsmouth, OH Micro Area",73346.0,39020
"Danville, IL Metro Area",73095.0,19180
"Shawnee, OK Micro Area",73019.0,43060
"Hobbs, NM Micro Area",73004.0,26020
"Fort Payne, AL Micro Area",71813.0,22840
"Gallup, NM Micro Area",71780.0,23700
"Mount Airy, NC Micro Area",71152.0,34340
"Greeneville, TN Micro Area",70621.0,24620
"Stevens Point, WI Micro Area",70468.0,44620
"Lake City, FL Micro Area",70385.0,29380
"Klamath Falls, OR Micro Area",70164.0,28900
"Greenwood, SC Micro Area",69241.0,24940
"Clearlake, CA Micro Area",68766.0,17340
"Morehead City, NC Micro Area",68541.0,33980
"Alamogordo, NM Micro Area",68537.0,10460
"Shelton, WA Micro Area",67615.0,43220
"Farmington, MO Micro Area",67541.0,22100
"Guayama, PR Metro Area",67526.0,25020
"Rexburg, ID Micro Area",67455.0,39940
"Faribault-Northfield, MN Micro Area",67262.0,22060
"Richmond, IN Micro Area",66456.0,39980
"Marion, IN Micro Area",66263.0,31980
"Muskogee, OK Micro Area",66146.0,34780
"Marquette, MI Micro Area",66103.0,32100
"Rio Grande City-Roma, TX Micro Area",66049.0,40100
"North Wilkesboro, NC Micro Area",65806.0,35900
"Baraboo, WI Micro Area",65697.0,12660
"Red Bluff, CA Micro Area",65498.0,39780
"Roanoke Rapids, NC Micro Area",65470.0,40260
"Somerset, KY Micro Area",65423.0,43700
"Marion, OH Micro Area",65291.0,32020
"Marinette, WI-MI Micro Area",65174.0,31940
"Lewiston, ID-WA Metro Area",64851.0,30300
"Walla Walla, WA Metro Area",62682.0,47460
"Enid, OK Metro Area",61926.0,21420
"Carson City, NV Metro Area",58993.0,16180
