population,msa,gender,edu,race
78395,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,"WHITE ALONE, NOT HISPANIC OR LATINO"
543896,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,"WHITE ALONE, NOT HISPANIC OR LATINO"
89434,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma","WHITE ALONE, NOT HISPANIC OR LATINO"
64865,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,"WHITE ALONE, NOT HISPANIC OR LATINO"
3124509,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,"WHITE ALONE, NOT HISPANIC OR LATINO"
6436038,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,"WHITE ALONE, NOT HISPANIC OR LATINO"
748331,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
963377,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
236949,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
408037,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree","WHITE ALONE, NOT HISPANIC OR LATINO"
51727,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,"WHITE ALONE, NOT HISPANIC OR LATINO"
660828,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,"WHITE ALONE, NOT HISPANIC OR LATINO"
73386,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma","WHITE ALONE, NOT HISPANIC OR LATINO"
65005,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,"WHITE ALONE, NOT HISPANIC OR LATINO"
3311529,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,"WHITE ALONE, NOT HISPANIC OR LATINO"
967908,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
186072,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
445608,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree","WHITE ALONE, NOT HISPANIC OR LATINO"
213077,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,ASIAN ALONE
94287,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,ASIAN ALONE
119201,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,ASIAN ALONE
53828,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",ASIAN ALONE
60134,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",ASIAN ALONE
12942,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,ASIAN ALONE
287495,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,ASIAN ALONE
50581,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,ASIAN ALONE
209422,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,ASIAN ALONE
46295,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma",ASIAN ALONE
71390,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,ASIAN ALONE
13690,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,ASIAN ALONE
99751,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,ASIAN ALONE
41101,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,ASIAN ALONE
63464,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree",ASIAN ALONE
251261,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,ASIAN ALONE
373740,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,BLACK OR AFRICAN AMERICAN ALONE
